AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,,民國44年5月28日由旅日東京華僑回國致敬團代表旅東京全體華僑所贈，下有黑色木質底座，銀盃盃身刻有「民族救星」，上款為「慶祝總統就職一週年紀念」，下款為「旅日東京華僑回國致敬團團長吳泗村、副團長劉天祿、施加妙及團員一同敬呈」。  蔣中正總統於民國43年連選連任中華民國行憲後第二任總統，此一階段為中華民國遷台以後轉危為安的重要契機，43年12月3日中美共同防禦條約簽字，44年1月美國通過「台灣決議案」確保台澎安全，3月底並宣布決定協防金馬，蔣中正總統在4月間宣布「吾人將為金門、馬祖而戰，並決心戰至最後一人」，各地華僑紛紛致電或組團，表示擁護政府確保金馬的決策，誓做政府的後盾。  劉天祿先生，台北市人，民國前7年（1904）出生，日本大學商學部畢業，在日本從事商業活動，先後成立永昌貿易株式會社、自由新聞社等，是日本商界中十大華人企業之一，成為旅日僑領，曾任中國國民黨東京支部常務委員、日本三民主義研究會會長。在日本甚獲日本朝野推崇，曾獲日本各屆首相接見，蔣中正總統及蔣經國先生也多次接見，並表彰他愛國助人的義行。中日斷交後，在精神及物質上大力支援中日交流協會，先後擔任中華民國華僑救國聯合總會常務理事、三民主義統一中國大同盟日本地區會長、亞洲反共聯盟副理事長。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x0200000011115b18e233834e1ec3ad0ab98bfbdee4749290187565612647cba25502c12f2399da6a2c15c13907c22b55c53b96fa78b97e5387a24bc3c3ff1e1700565a5c,大銀杯,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDQwMDEwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國44年10月31日由僑資廠商大亞洲織綢廠為慶賀蔣中正總統69歲生日所贈。外罩鏡框，底座為黑色木架，上襯紫紅色緞面，竹筏放置於正中央，造形簡單，上有風帆，以銀箔打造而成，十分逼真，帆中央貼有一「壽」字，筏上另有一銀製小盆，底部刻有「張」，寓意不詳，可能為工匠之姓。前方置一銀製立牌，上刻有「一帆風順，反攻大陸，海外僑胞，一致擁護」，上款為「恭祝總統六旬晉九華誕誌慶」下款為「僑資廠商大亞洲織綢廠汪藕汀敬獻」。緞面一邊綴有小銀牌，印有出品處，唯已鏽蝕，字跡模糊不清，只能認出「…珊瑚銀樓…」字樣！  民國44年10月25日為台灣光復10週年紀念，11月12日為國父誕辰90週年紀念，加以第一次台海危機安然渡過，台灣政局逐漸穩定，因此該年歸國僑胞特別踴躍。11月5日蔣中正總統在中山堂特設茶會招待歸國僑團，參加人數逾千人，蔣以「反攻復國的前途」為題，發表演講，勗勉海外僑胞團結奮鬥。此一禮品正符合當年盛況。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x020000001070243051201a871e48af257794610a59074434de00769f13eed0d2bd9e5f234da56466da9207248fc2c301830786b243eb12a4484296d69a1274c51a276c59,銀竹筏,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDQwMDIwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國45年10月31日「越南亞洲日報」贈，紅色木質架上鑲銀色盾形牌，盾面以亞洲區地圖為底，中國區塊以金色立體方式呈現，其上刻「還我河山」，臺灣旁邊立有燈塔，意指臺灣在蔣中正總統的領導之下，成為亞洲的燈塔，不唯照亮大陸，也是亞洲反共的領導者。盾面上端貼有「蔣大總統七秩華誕大慶」，下款為「越南亞洲日報敬賀」，並刻有時間「中華民國四十五年十月三十一日」，其中「蔣大總統七秩華誕大慶」以及「亞洲日報」為金字，其餘字為白色。  越南長久以來為中國藩屬國或宗主國，19世紀中葉後，法國開始入侵越南，並在西貢設立殖民政府；中國为確保對越南的宗主權導致中法戰爭，雙方簽訂中法新約，使越南正式成為法國殖民地，是為法屬印度支那的一部份。第二次世界大戰時，日本佔領了越南，戰後，法國企圖重新控制越南，但最終失敗，日內瓦會議把越南分割成南、北兩部份，並承諾將推行越南統一的選舉，但這選舉並未舉行。因此在民國40年代，越南面臨南北分治之苦，並長期受北越越共之騷擾，對共產黨恨之入骨，是中華民國反共抗俄主要的盟友之一。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x020000005f33cb6468699f361d18286df48b8cd3d0dab7e80c23d83b661de0eca2e2e09b705d576d396640ecc051b29d25d9151f42501786aae966ef925d25a7bf43659f,銀底金色地圖(上有文字還我河山),https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDEwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國45年10月31日俞鴻鈞、黃少谷為祝賀蔣中正總統70大壽所贈，外有鏡框，內為銀質地球儀，整體造型為一鷹展翼單腳立於地球儀上，地球儀上方為亞洲部份，特地將中國各地主要城市位置一一標出，其餘地區則未做顯示，另以金漆紋刻「雙壽」，上款為「總統七秩華誕」，下款為「職俞鴻鈞、黃少谷恭祝」。  俞鴻鈞為當時行政院長，其在抗戰初期擔任上海市長，政府撤往重慶後調任外交部政務次長、中央信託局局長、財政部長；勝利後接任中央銀行總裁，於動員戡亂時受命主持上海央行黃金儲備運往台灣。遷台後兼任央行總裁與交通銀行、中國農民銀行、台灣銀行董事長。民國42年年出任台灣省政府主席，兼任台灣後備司令部司令，43年至47年任行政院長。  黃少谷時任行政院副院長，在大陸曾任監察委員、掃蕩報社社長、和平日報社社長、制憲國民大會代表、中國國民黨中央宣傳部部長，來台後擔任行政院政務委員、總裁辦公室秘書室主任、行政院秘書長，民國43至47年擔任行政院副院長。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000ad18348106c580599e34c004532c53b618e42bd7c4c98a6f32d62f86e26c3e6760f81469ef441b566a28650a7d8530bc72a31dbd3ce54440381b622c237787de,銀鷹球（鏡框）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDIwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國45年10月31日由仰光中山中學董事羅欽文所贈，木質佛龕造型，正面中央為玻璃可看進內部，內放置象牙雕刻坐姿釋迦牟尼佛，下方為黑色木質底座，上有金色刻字「南山之高，福海悠長，活佛濟世，我供興邦，人類救星，寰宇崇仰，偉哉我公，聖壽無疆」，上款為「蔣中正總統七秩華誕誌慶」，落款為「仰光中山中學董事長羅欽文敬祝」，佛像後以黑色襯底繡有紅色「壽」字。  緬甸，是一個位於東南亞的國家，約5千萬國民，其中華人佔3%，大多數居於仰光。仰光(Yangon)，為緬甸最大城市，原為緬甸首都（2005年11月6日遷至內比都），人口约500万。華人在當地相當活躍，中山中學為當地華人學校。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x020000002c53a18d9c0935e5dbfe45187dd783bc11995dce361f24955cd76db13a039ff671666e632e2c0198e3751739551f2295283a68b5132b3d1e79a1ea1833be8fa6,象牙佛像,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDMwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國49年10月31日由菲律賓退伍軍人會血幹支會所贈，為金質盾牌，固定於黑色木質座上，上刻「萬眾所崇」，並有菲律賓國徽、及血幹團團徽「≡B≡」，上款「蔣大總統惠存」、落款為「菲律賓退伍軍人會血幹支會敬獻」，時序為「中華民國四十九年十月卅一日」。 血幹支會乃菲律賓退伍軍人會「血幹團」支部，菲律賓血幹團成立於1942年9月18日，總部位於馬尼拉華人區，團徽中有個三字，代表三民主義，是菲國僑社第一支抗日游擊隊。二次世界大戰菲律賓抗日的三年期間，血幹團婦女隊擔任救護工作，並興學薪傳中華文化，血幹青年則與美軍並肩作戰，從事游擊工作，計有112人壯烈犧牲。戰後血幹團轉型成為菲國民間組織，定期為僑胞舉行義診、醫學講座、賑災濟貧，舉辦華語班。血幹團與台灣互動密切，歷年來定期與行政院國軍退除役官兵輔導委員會聚會交誼，並組團回台勞軍、參加雙十國慶等愛國活動。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000750447d918cce2d73b2550db309ca42e9d33a35ac68f7764b4fbb616e9062b0761966ca5ee0c9d84063ddf610b3c703c37e8fe4861b40f6ee862f0371b788e19,金盾,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDQwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國45年10月31日由緬甸仰光中學侯一新所贈，為木質佛龕造型，型式與GF206062象牙佛像佛龕相近，正面中央為玻璃可看進內部，玻璃外有梅花雕飾。內部放置為象牙雕刻立姿壽星，下方為黑色石質底座，上有金色刻字「聖壽無疆」，上款為「蔣中正總統七秩華誕誌慶」，落款為「仰光中山中學侯一新敬祝」，雕像後以粉紅色布襯底，上有中華民國國旗，國旗上有中國地圖，地圖上有金色壽字。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000d2e79dfe7c5699084d6f967f1620ab2eb2e738c41fd4241d36d01ad6375e12575e22f0d10efa09a992a3572333a6de8ace7661e2f21fa233454c2a748bdb0df2,象牙壽星,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDUwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國46年1月5日由美國白雪溜冰團所贈，外罩玻璃框，黑色木製底座上襯紅色絨布，中央放置著銀製溜冰刀鞋，固定於銀質圓錐形座台上，座台下方為簍空黑色木製基座，溜冰刀鞋中央有一圓形銀片，連接冰刀與底座，上刻有「PRESENTED TO PRESIDENT CHIANG」下款為「BY HOLIDAY ON ICE，1957」。 白雪溜兵團是美國出名的表演團體，民國46年第一次來華表演，造成轟動，主要在於當年台灣尚在風雨飄搖之中，世界許多國家對台灣亦尚在觀望之中，白雪溜冰團的來華表演，不但代表美國民間團體對台灣地位的承認，亦代表台灣人民已有足夠的生活資源開始追求生活藝術與育樂活動。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000766a8f5b9babeb0b653fe47cdd0e68208615b11d15be0a61267e87abeebb6faf39a4fa688f530e6a94978f60dd77c0d59ccd6a964491591a1030c2131c788cb2,銀溜冰鞋（模型）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDYwMQ==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國46年1月5日由美國白雪溜冰團所贈，外罩玻璃框，黑色木製底座上襯紅色絨布，中央放置著銀製溜冰刀鞋，固定於銀質圓錐形座台上，座台下方為簍空黑色木製基座，溜冰刀鞋中央有一圓形銀片，連接冰刀與底座，上刻有「PRESENTED TO PRESIDENT CHIANG」下款為「BY HOLIDAY ON ICE，1957」。 白雪溜兵團是美國出名的表演團體，民國46年第一次來華表演，造成轟動，主要在於當年台灣尚在風雨飄搖之中，世界許多國家對台灣亦尚在觀望之中，白雪溜冰團的來華表演，不但代表美國民間團體對台灣地位的承認，亦代表台灣人民已有足夠的生活資源開始追求生活藝術與育樂活動。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x0200000063db56138abefbc9c331a9c5a0549d5b2249f3d8c6170818074807bfb9b95b4e3841f167adb93fcc255b871bab0a09655d9e04640951ce1231919a545c0f62ea,銀溜冰鞋（模型）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDUwMDYwMg==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國46年6月旅日華僑回國致敬團贈。外有玻璃框，底座上為黑色木質，內以黑色花紋木雕為底，上鑲純金盾牌，上端刻青天白日國徽，中間刻「威德浩蕩，萬邦賓服」八字，上款為「蔣中正總統留念」，下款「旅日華僑回國致敬團奉獻」落款時間為「四六年六月」，木雕兩側以橘色與白色鍛帶裝飾。  「威德浩蕩，萬邦賓服」係採自《宋書》〈聖皇篇〉，「九州咸賓服，威德洞八幽」，乃歌頌帝王之辭。  民國46年6月3日，日本內閣總理大臣岸信介來華，與蔣中正總統交換中日有關意見，同行包括旅日華僑及日本記者團，蔣中正總統親予接見，並指出「反攻復國我具堅定信心，中立主義者，前途必危。」此物應於此時呈獻。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000a03b961a4aa6d6af9a6022d20a77ad9f9a2c4673db3bf90a4e71bbb4cf5478086af6e846c21c234380c2cdb7f024d97df23967f4df147ae55a70bd8bf11c4bae,金盾,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDYwMDEwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
